stop_id,station_name,lat,long
30237,47th,41.810318,-87.63094
30177,63rd,41.780536,-87.630952
30191,69th,41.768367,-87.625724
30046,79th,41.750419,-87.625112
30275,87th,41.735372,-87.624717
30089,95th/Dan Ryan,41.722377,-87.624342
30274,Addison,41.947428,-87.653626
30229,Argyle,41.973453,-87.65853
30256,Belmont,41.939751,-87.65338
30067,Berwyn,41.977984,-87.658668
30267,Bryn Mawr,41.983504,-87.65884
30194,Cermak-Chinatown,41.853206,-87.630968
30279,Chicago,41.896671,-87.628176
30122,Clark/Division,41.90392,-87.631412
30234,Fullerton,41.925051,-87.652866
30224,Garfield,41.79542,-87.631157
30064,Grand,41.891665,-87.628021
30148,Granville,41.993664,-87.659202
30286,Harrison,41.874039,-87.627479
30173,Howard,42.019063,-87.672892
30110,Jackson,41.878153,-87.627596
30227,Jarvis,42.015876,-87.669092
30290,Lake,41.884809,-87.627813
30149,Lawrence,41.969139,-87.658493
30251,Loyola,42.001073,-87.661061
30211,Monroe,41.880745,-87.627696
30020,Morse,42.008362,-87.665909
30125,North/Clybourn,41.910655,-87.649177
30269,Roosevelt,41.867368,-87.627402
30017,Sheridan,41.953775,-87.654929
30036,Sox-35th,41.831191,-87.630636
30170,Thorndale,41.990259,-87.659076
30106,Wilson,41.964273,-87.657588
